,player,span,mat,inns,no,runs,hs,ave,bf,sr
122,AM Nayar (KXIP/MI/PWI/RR),2008-2014,60,50,12,672,45*,17.68,577,116.46
123,MR Marsh (DC/DCH/PWI/RPS/SRH),2010-2024,42,36,2,665,89,19.55,521,127.63
124,GJ Bailey (CSK/KXIP/RPS),2009-2016,40,37,10,663,61*,24.55,544,121.87
125,TH David (MI/RCB),2021-2024,38,35,12,659,46,28.65,387,170.28
126,E Lewis (LSG/MI/RR),2018-2022,27,26,2,654,65,27.25,477,137.1
127,PD Salt (DC/KKR),2023-2024,21,21,2,653,89*,34.36,372,175.53
128,A Badoni (LSG),2022-2024,42,35,9,634,59*,24.38,473,134.03
129,PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,92,36,624,24*,11.14,563,110.83
130,CH Morris (CSK/DC/RCB/RR),2013-2021,81,51,23,618,82*,22.07,398,155.27
131,JJ Roy (DC/GL/KKR/SRH),2017-2023,21,21,2,614,91*,32.31,443,138.6
132,JD Ryder (PWI/RCB),2009-2012,29,29,1,604,86,21.57,458,131.87
133,SN Khan (DC/KXIP/PBKS/RCB),2015-2023,50,37,11,585,67,22.5,448,130.58
134,HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76
135,Abdul Samad (SRH),2020-2024,50,40,10,577,37*,19.23,395,146.07
136,M Shahrukh Khan (GT/PBKS),2021-2024,40,38,10,553,58,19.75,391,141.43
137,Rashid Khan (GT/SRH),2017-2024,121,60,23,545,79*,14.72,337,161.72
138,CJ Anderson (DC/MI/RCB),2014-2018,30,29,7,538,95*,24.45,423,127.18
139,Shahbaz Ahmed (RCB/SRH),2020-2024,55,37,9,536,59*,19.14,440,121.81
140,RS Bopara (KXIP/SRH),2009-2015,24,22,4,531,84,29.5,453,117.21
141,MK Lomror (RCB/RR),2018-2024,40,35,6,527,54*,18.17,373,141.28
142,JP Faulkner (GL/KXIP/PWI/RR),2011-2017,60,45,20,527,46,21.08,389,135.47
143,PJ Cummins (DC/KKR/SRH),2014-2024,58,41,15,515,66*,19.8,344,149.7
144,M Manhas (CSK/DC/PWI),2008-2014,55,38,15,514,42*,22.34,470,109.36
145,Gurkeerat Singh (KXIP/RCB),2012-2020,41,32,8,511,65,21.29,422,121.09
146,OA Shah (KKR/Kochi/RR),2010-2013,23,22,7,506,76,33.73,389,130.07
147,PC Valthaty (KXIP/RR),2009-2013,23,23,1,505,120*,22.95,418,120.81
148,SW Billings (CSK/DC/KKR),2016-2022,30,27,1,503,56,19.34,388,129.63
149,RR Rossouw (DC/PBKS/RCB),2014-2024,22,22,2,473,82*,23.65,308,153.57
